WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="4C1", group="280", value="     1"
WARNING (031990): XRECORD object group 90 unknown/not supported - ignored.
WARNING (032164): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032236): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032308): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032380): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032452): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032524): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032596): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032668): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032740): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032812): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032884): XRECORD object group 140 unknown/not supported - ignored.
WARNING (032956): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033028): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033100): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033172): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033244): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033316): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033460): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033532): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033604): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033676): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033748): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033820): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033892): XRECORD object group 140 unknown/not supported - ignored.
WARNING (033964): XRECORD object group 140 unknown/not supported - ignored.
WARNING (034036): XRECORD object group 140 unknown/not supported - ignored.
WARNING (034108): XRECORD object group 140 unknown/not supported - ignored.
WARNING (042926): XRECORD object group 1 unknown/not supported - ignored.
WARNING (042930): XRECORD object group 90 unknown/not supported - ignored.
WARNING (042972): XRECORD object group 270 unknown/not supported - ignored.
WARNING (042974): XRECORD object group 271 unknown/not supported - ignored.
WARNING (043012): XRECORD object group 270 unknown/not supported - ignored.
WARNING (043014): XRECORD object group 271 unknown/not supported - ignored.
WARNING (043052): XRECORD object group 270 unknown/not supported - ignored.
WARNING (043054): XRECORD object group 271 unknown/not supported - ignored.
WARNING (043092): XRECORD object group 270 unknown/not supported - ignored.
WARNING (043094): XRECORD object group 271 unknown/not supported - ignored.
WARNING (043134): XRECORD object group 90 unknown/not supported - ignored.
WARNING (043136): XRECORD object group 71 unknown/not supported - ignored.
WARNING (043138): XRECORD object group 1 unknown/not supported - ignored.
WARNING (043140): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043142): XRECORD object group 311 unknown/not supported - ignored.
